PING 10.1.0.2 (10.1.0.2) 56(84) bytes of data.
64 bytes from 10.1.0.2: icmp_seq=1 ttl=64 time=40.2 ms
64 bytes from 10.1.0.2: icmp_seq=2 ttl=64 time=0.941 ms
64 bytes from 10.1.0.2: icmp_seq=3 ttl=64 time=0.125 ms
64 bytes from 10.1.0.2: icmp_seq=4 ttl=64 time=0.127 ms
64 bytes from 10.1.0.2: icmp_seq=5 ttl=64 time=0.308 ms
64 bytes from 10.1.0.2: icmp_seq=6 ttl=64 time=0.110 ms
64 bytes from 10.1.0.2: icmp_seq=7 ttl=64 time=0.169 ms
64 bytes from 10.1.0.2: icmp_seq=8 ttl=64 time=0.134 ms
64 bytes from 10.1.0.2: icmp_seq=9 ttl=64 time=0.130 ms
64 bytes from 10.1.0.2: icmp_seq=10 ttl=64 time=0.108 ms
64 bytes from 10.1.0.2: icmp_seq=11 ttl=64 time=0.174 ms
64 bytes from 10.1.0.2: icmp_seq=12 ttl=64 time=0.127 ms
64 bytes from 10.1.0.2: icmp_seq=13 ttl=64 time=0.152 ms
64 bytes from 10.1.0.2: icmp_seq=14 ttl=64 time=0.220 ms
64 bytes from 10.1.0.2: icmp_seq=15 ttl=64 time=0.173 ms
64 bytes from 10.1.0.2: icmp_seq=16 ttl=64 time=0.128 ms
64 bytes from 10.1.0.2: icmp_seq=17 ttl=64 time=0.163 ms
64 bytes from 10.1.0.2: icmp_seq=18 ttl=64 time=0.155 ms
64 bytes from 10.1.0.2: icmp_seq=19 ttl=64 time=0.131 ms
64 bytes from 10.1.0.2: icmp_seq=20 ttl=64 time=0.169 ms
64 bytes from 10.1.0.2: icmp_seq=21 ttl=64 time=0.113 ms
64 bytes from 10.1.0.2: icmp_seq=22 ttl=64 time=0.071 ms
64 bytes from 10.1.0.2: icmp_seq=23 ttl=64 time=0.277 ms
64 bytes from 10.1.0.2: icmp_seq=24 ttl=64 time=0.132 ms
64 bytes from 10.1.0.2: icmp_seq=25 ttl=64 time=0.083 ms
64 bytes from 10.1.0.2: icmp_seq=26 ttl=64 time=0.148 ms
64 bytes from 10.1.0.2: icmp_seq=27 ttl=64 time=0.127 ms
64 bytes from 10.1.0.2: icmp_seq=28 ttl=64 time=0.255 ms
64 bytes from 10.1.0.2: icmp_seq=29 ttl=64 time=0.281 ms
64 bytes from 10.1.0.2: icmp_seq=30 ttl=64 time=0.148 ms
64 bytes from 10.1.0.2: icmp_seq=31 ttl=64 time=0.122 ms
64 bytes from 10.1.0.2: icmp_seq=32 ttl=64 time=0.344 ms

--- 10.1.0.2 ping statistics ---
32 packets transmitted, 32 received, 0% packet loss, time 31003ms
rtt min/avg/max/mdev = 0.071/1.441/40.289/6.978 ms
